Provider;Resource Type;Resource Group Move;Subscription Move;Region Move;Documentation Link
Microsoft.Cdn;cdnwebapplicationfirewallmanagedrulesets;No;No;No;
Microsoft.Cdn;cdnwebapplicationfirewallpolicies;Yes;Yes;No;
Microsoft.Cdn;edgenodes;No;No;No;
Microsoft.Cdn;profiles;Yes;Yes;No;
Microsoft.Cdn;profiles / endpoints;Yes;Yes;No;
Microsoft.CertificateRegistration;certificateorders;Yes;Yes;No;
Microsoft.ClassicCompute;capabilities;No;No;No;
Microsoft.ClassicCompute;domainnames;Yes;No;No;
Microsoft.ClassicCompute;quotas;No;No;No;
Microsoft.ClassicCompute;resourcetypes;No;No;No;
Microsoft.ClassicCompute;validatesubscriptionmoveavailability;No;No;No;
Microsoft.ClassicCompute;virtualmachines;Yes;Yes;No;https://learn.microsoft.com/en-us/azure/virtual-machines/migration-classic-resource-manager-overview
Microsoft.ClassicInfrastructureMigrate;classicinfrastructureresources;No;No;No;
Microsoft.ClassicNetwork;capabilities;No;No;No;
Microsoft.ClassicNetwork;expressroutecrossconnections;No;No;No;
Microsoft.ClassicNetwork;expressroutecrossconnections / peerings;No;No;No;
Microsoft.ClassicNetwork;gatewaysupporteddevices;No;No;No;
Microsoft.ClassicNetwork;networksecuritygroups;No;No;No;
Microsoft.ClassicNetwork;quotas;No;No;No;
Microsoft.ClassicNetwork;reservedips;No;No;No;
Microsoft.ClassicNetwork;virtualnetworks;No;No;No;
Microsoft.ClassicStorage;disks;No;No;No;
Microsoft.ClassicStorage;images;No;No;No;
Microsoft.ClassicStorage;osimages;No;No;No;
Microsoft.ClassicStorage;osplatformimages;No;No;No;
Microsoft.ClassicStorage;publicimages;No;No;No;
Microsoft.ClassicStorage;quotas;No;No;No;
Microsoft.ClassicStorage;storageaccounts;Yes;No;Yes;https://learn.microsoft.com/en-us/azure/storage/common/storage-account-move?tabs=azure-portal
Microsoft.ClassicStorage;vmimages;No;No;No;
Microsoft.ClassicSubscription;operations;No;No;No;
Microsoft.CognitiveServices;accounts;Yes;Yes;No;
Microsoft.CognitiveServices;Cognitive Search;Yes;Yes;Yes (Manual steps);https://learn.microsoft.com/en-us/azure/search/search-howto-move-across-regions
Microsoft.Commerce;ratecard;No;No;No;
Microsoft.Commerce;usageaggregates;No;No;No;
Microsoft.Communication;communicationservices;Yes;Yes;No;
Microsoft.Compute;availabilitysets;Yes;Yes;Yes (Use Azure Resource Mover);https://learn.microsoft.com/en-us/azure/resource-mover/tutorial-move-region-virtual-machines
Microsoft.Compute;diskaccesses;No;No;No;
Microsoft.Compute;diskencryptionsets;No;No;No;
Microsoft.Compute;disks;Yes;Yes;Yes (Use Azure Resource Mover);https://learn.microsoft.com/en-us/azure/resource-mover/tutorial-move-region-virtual-machines
Microsoft.Compute;galleries;No;No;No;
Microsoft.Compute;galleries / images;No;No;No;
Microsoft.Compute;galleries / images / versions;No;No;No;
Microsoft.Compute;hostgroups;No;No;No;
Microsoft.Compute;hostgroups / hosts;No;No;No;
Microsoft.Compute;images;Yes;Yes;No;
Microsoft.Compute;proximityplacementgroups;Yes;Yes;No;
Microsoft.Compute;restorepointcollections;No;No;No;
Microsoft.Compute;restorepointcollections / restorepoints;No;No;No;
Microsoft.Compute;sharedvmextensions;No;No;No;
Microsoft.Compute;sharedvmimages;No;No;No;
Microsoft.Compute;sharedvmimages / versions;No;No;No;
Microsoft.Compute;snapshots;Yes - Full / No - Incremental;Yes - Full / No - Incremental;No - Full / No - Incremental;
Microsoft.Compute;sshpublickeys;No;No;No;
Microsoft.Compute;virtualmachines;Yes;Yes;Yes (Use Azure Resource Mover);https://learn.microsoft.com/en-us/azure/resource-mover/tutorial-move-region-virtual-machines
Microsoft.Compute;virtualmachines / extensions;Yes;Yes;No;
Microsoft.Compute;virtualmachinescalesets;Yes;Yes;No;
Microsoft.Compute;capabilities;No;No;No;
Microsoft.Compute;domainnames;Yes;No;No;
Microsoft.Compute;quotas;No;No;No;
Microsoft.Compute;resourcetypes;No;No;No;
Microsoft.Compute;validatesubscriptionmoveavailability;No;No;No;
Microsoft.Confluent;organizations;No;No;No;
Microsoft.Consumption;aggregatedcost;No;No;No;
Microsoft.Consumption;balances;No;No;No;
Microsoft.Consumption;budgets;No;No;No;
Microsoft.Consumption;charges;No;No;No;
Microsoft.Consumption;costtags;No;No;No;
Microsoft.Consumption;credits;No;No;No;
Microsoft.Consumption;events;No;No;No;
Microsoft.Consumption;forecasts;No;No;No;
Microsoft.Consumption;lots;No;No;No;
Microsoft.Consumption;marketplaces;No;No;No;
Microsoft.Consumption;pricesheets;No;No;No;
Microsoft.Consumption;products;No;No;No;
Microsoft.Consumption;reservationdetails;No;No;No;
Microsoft.Consumption;reservationrecommendationdetails;No;No;No;
Microsoft.Consumption;reservationrecommendations;No;No;No;
Microsoft.Consumption;reservationsummaries;No;No;No;
Microsoft.Consumption;reservationtransactions;No;No;No;
Microsoft.Consumption;tags;No;No;No;
Microsoft.Consumption;tenants;No;No;No;
Microsoft.Consumption;terms;No;No;No;
Microsoft.Consumption;usagedetails;No;No;No;
Microsoft.ContainerInstance;containergroups;No;No;No;
Microsoft.ContainerInstance;serviceassociationlinks;No;No;No;
Microsoft.ContainerRegistry;registries;Yes;Yes;No;https://learn.microsoft.com/en-us/azure/container-registry/container-registry-geo-replication
Microsoft.ContainerRegistry;registries / agentpools;Yes;Yes;No;
Microsoft.ContainerRegistry;registries / buildtasks;Yes;Yes;No;
Microsoft.ContainerRegistry;registries / replications;Yes;Yes;No;
Microsoft.ContainerRegistry;registries / tasks;Yes;Yes;No;
Microsoft.ContainerRegistry;registries / webhooks;Yes;Yes;No;
Microsoft.ContainerService;containerservices;No;No;No;
Microsoft.ContainerService;managedclusters;No;No;No;
Microsoft.ContainerService;openshiftmanagedclusters;No;No;No;
Microsoft.ContentModerator;applications;No;No;No;
Microsoft.CortanaAnalytics;accounts;No;No;No;
Microsoft.CostManagement;alerts;No;No;No;
Microsoft.CostManagement;billingaccounts;No;No;No;
Microsoft.CostManagement;budgets;No;No;No;
Microsoft.CostManagement;cloudconnectors;No;No;No;
Microsoft.CostManagement;connectors;Yes;Yes;No;
Microsoft.CostManagement;departments;No;No;No;
Microsoft.CostManagement;dimensions;No;No;No;
Microsoft.CostManagement;enrollmentaccounts;No;No;No;
Microsoft.CostManagement;exports;No;No;No;
Microsoft.CostManagement;externalbillingaccounts;No;No;No;
Microsoft.CostManagement;forecast;No;No;No;
Microsoft.CostManagement;query;No;No;No;
Microsoft.CostManagement;register;No;No;No;
Microsoft.CostManagement;reportconfigs;No;No;No;
Microsoft.CostManagement;reports;No;No;No;
Microsoft.CostManagement;settings;No;No;No;
Microsoft.CostManagement;showbackrules;No;No;No;
Microsoft.CostManagement;views;No;No;No;
Microsoft.CustomerInsights;hubs;No;No;No;
Microsoft.CustomerLockbox;requests;No;No;No;
Microsoft.CustomProviders;associations;No;No;No;
Microsoft.CustomProviders;resourceproviders;Yes;Yes;No;
Microsoft.DataBox;jobs;No;No;No;
Microsoft.DataBoxEdge;availableskus;No;No;No;
Microsoft.DataBoxEdge;databoxedgedevices;No;No;No;
Microsoft.Databricks;workspaces;No;No;No;
Microsoft.Databricks;accessConnectors;No;No;No;
Microsoft.DataCatalog;catalogs;Yes;Yes;No;
Microsoft.DataCatalog;datacatalogs;No;No;No;
Microsoft.DataConnect;connectionmanagers;No;No;No;
Microsoft.DataDog;monitors;No;No;No;
Microsoft.DataExchange;packages;No;No;No;
Microsoft.DataExchange;plans;No;No;No;
Microsoft.DataFactory;datafactories;Yes;Yes;No;https://learn.microsoft.com/en-us/azure/data-factory/plan-manage-costs
Microsoft.DataFactory;factories;Yes;Yes;No;
Microsoft.DataLake;datalakeaccounts;No;No;No;
Microsoft.DataLakeAnalytics;accounts;Yes;Yes;No;
Microsoft.DataLakeStore;accounts;Yes;Yes;No;
Microsoft.DataMigration;services;No;No;No;
Microsoft.DataMigration;services / projects;No;No;No;
Microsoft.DataMigration;slots;No;No;No;
Microsoft.DataMigration;sqlmigrationservices;No;No;No;
Microsoft.DataProtection;backupvaults;Yes;Yes;No;
Microsoft.DataShare;accounts;Yes;Yes;No;
Microsoft.DBforMariaDB;servers;Yes;Yes;Yes (cross-region replica);
Microsoft.DBforMySQL;flexibleServers;Yes;Yes;No;
Microsoft.DBforMySQL;servers;Yes;Yes;Yes (cross-region replica);https://learn.microsoft.com/en-us/azure/mysql/single-server/concepts-read-replicas#cross-region-replication
Microsoft.DBforPostgreSQL;flexibleServers;Yes;Yes;No;
Microsoft.DBforPostgreSQL;servergroups;No;No;No;
Microsoft.DBforPostgreSQL;servers;Yes;Yes;Yes (cross-region replica);https://learn.microsoft.com/en-us/azure/postgresql/single-server/concepts-read-replicas#cross-region-replication
Microsoft.DBforPostgreSQL;serversv2;Yes;Yes;No;
Microsoft.DeploymentManager;artifactsources;Yes;Yes;No;
Microsoft.DeploymentManager;rollouts;Yes;Yes;No;
Microsoft.DeploymentManager;servicetopologies;Yes;Yes;No;
Microsoft.DeploymentManager;servicetopologies / services;Yes;Yes;No;
Microsoft.DeploymentManager;servicetopologies / services / serviceunits;Yes;Yes;No;
Microsoft.DeploymentManager;steps;Yes;Yes;No;
Microsoft.DesktopVirtualization;applicationgroups;Yes;Yes;No;
Microsoft.DesktopVirtualization;hostpools;Yes;Yes;No;
Microsoft.DesktopVirtualization;scalingplans;Yes;Yes;No;
Microsoft.DesktopVirtualization;workspaces;Yes;Yes;No;
Microsoft.DesktopVirtualization;appattachpackages;Yes;Yes;No;
Microsoft.Devices;elasticpools;No;No;No;
Microsoft.Devices;elasticpools / iothubtenants;No;No;No;
Microsoft.Devices;iothubs;Yes;Yes;Yes;https://learn.microsoft.com/en-us/azure/iot-hub/iot-hub-ha-dr#cross-region-dr
Microsoft.Devices;provisioningservices;Yes;Yes;No;
Microsoft.DevOps;pipelines;Yes;Yes;No;
Microsoft.DevOps;controllers;Pending;Pending;No;
Microsoft.DevSpaces;controllers;Yes;Yes;No;
Microsoft.DevSpaces;AKS cluster;Pending;Pending;No;
Microsoft.DevTestLab;labcenters;No;No;No;
Microsoft.DevTestLab;labs;Yes;No;No;
Microsoft.DevTestLab;labs / environments;Yes;No;No;
Microsoft.DevTestLab;labs / servicerunners;Yes;No;No;
Microsoft.DevTestLab;labs / virtualmachines;Yes;No;No;
Microsoft.DevTestLab;schedules;Yes;Yes;No;
Microsoft.DigitalTwins;digitaltwinsinstances;No;No;Yes (recreating);
Microsoft.DocumentDB;databaseaccounts;Yes;Yes;No;https://learn.microsoft.com/en-us/azure/cosmos-db/move-account
Microsoft.DocumentDB;mongoClusters;No;No;No;
Microsoft.DocumentDB;cassandraClusters;No;No;No;
Microsoft.DomainRegistration;domains;Yes;Yes;No;
Microsoft.DomainRegistration;generatessorequest;No;No;No;
Microsoft.DomainRegistration;topleveldomains;No;No;No;
Microsoft.DomainRegistration;validatedomainregistrationinformation;No;No;No;
Microsoft.Elastic;monitors;No;No;No;
Microsoft.EnterpriseKnowledgeGraph;services;Yes;Yes;No;
Microsoft.EventGrid;domains;Yes;Yes;No;
Microsoft.EventGrid;eventsubscriptions;No;No;No;
Microsoft.EventGrid;extensiontopics;No;No;No;
Microsoft.EventGrid;partnernamespaces;Yes;Yes;No;
Microsoft.EventGrid;partnerregistrations;No;No;No;
Microsoft.EventGrid;partnertopics;Yes;Yes;No;
Microsoft.EventGrid;systemtopics;Yes;Yes;No;
Microsoft.EventGrid;topics;Yes;Yes;No;
Microsoft.EventGrid;topictypes;No;No;No;
Microsoft.EventHub;clusters;Yes;Yes;No;
Microsoft.EventHub;namespaces;Yes;Yes;Yes (with template);https://learn.microsoft.com/en-us/azure/event-hubs/move-across-regions
Microsoft.EventHub;sku;No;No;No;
Microsoft.Experimentation;experimentworkspaces;No;No;No;
Microsoft.ExtendedLocation;customLocations;No;No;No;
Microsoft.Falcon;namespaces;Yes;Yes;No;
Microsoft.Features;featureproviders;No;No;No;
Microsoft.Features;features;No;No;No;
Microsoft.Features;providers;No;No;No;
Microsoft.Features;subscriptionfeatureregistrations;No;No;No;
Microsoft.Genomics;accounts;No;No;No;
Microsoft.GuestConfiguration;automanagedaccounts;No;No;No;
Microsoft.GuestConfiguration;automanagedvmconfigurationprofiles;No;No;No;
Microsoft.GuestConfiguration;guestconfigurationassignments;No;No;No;
Microsoft.GuestConfiguration;software;No;No;No;
Microsoft.GuestConfiguration;softwareupdateprofile;No;No;No;
Microsoft.GuestConfiguration;softwareupdates;No;No;No;
Microsoft.HanaOnAzure;hanainstances;No;No;No;
Microsoft.HanaOnAzure;sapmonitors;No;No;No;
Microsoft.HardwareSecurityModules;dedicatedhsms;No;No;No;
Microsoft.HDInsight;clusters;Yes;Yes;No;https://learn.microsoft.com/en-us/azure/hdinsight/hdinsight-plan-business-continuity
Microsoft.HealthcareApis;services;Yes;Yes;No;
Microsoft.HybridCompute;licenses;Yes;Yes;No;
Microsoft.HybridCompute;machines;Yes;Yes;No;
Microsoft.HybridCompute;machines / extensions;Yes;Yes;No;
Microsoft.HybridCompute;privatelinkscopes;Yes;Yes;No;
Microsoft.HybridData;datamanagers;Yes;Yes;No;
Microsoft.HybridNetwork;devices;No;No;No;
Microsoft.HybridNetwork;vnfs;No;No;No;
Microsoft.Hydra;components;No;No;No;
Microsoft.Hydra;networkscopes;No;No;No;
Microsoft.ImportExport;jobs;Yes;Yes;No;
Microsoft.Insights;accounts;Yes;Yes;No;
Microsoft.Insights;actiongroups;Yes;Yes;No;
Microsoft.Insights;activitylogalerts;No;No;No;
Microsoft.Insights;alertrules;Yes;Yes;No;
Microsoft.Insights;autoscalesettings;Yes;Yes;No;
Microsoft.Insights;baseline;No;No;No;
Microsoft.Insights;components;Yes;Yes;No;
Microsoft.Insights;datacollectionrules;No;No;No;
Microsoft.Insights;diagnosticsettings;No;No;No;
Microsoft.Insights;diagnosticsettingscategories;No;No;No;
Microsoft.Insights;eventcategories;No;No;No;
Microsoft.Insights;eventtypes;No;No;No;
Microsoft.Insights;extendeddiagnosticsettings;No;No;No;
Microsoft.Insights;guestdiagnosticsettings;No;No;No;
Microsoft.Insights;listmigrationdate;No;No;No;
Microsoft.Insights;logdefinitions;No;No;No;
Microsoft.Insights;logprofiles;No;No;No;
Microsoft.Insights;logs;No;No;No;
Microsoft.Insights;metricalerts;No;No;No;
Microsoft.Insights;metricbaselines;No;No;No;
Microsoft.Insights;metricbatch;No;No;No;
Microsoft.Insights;metricdefinitions;No;No;No;
Microsoft.Insights;metricnamespaces;No;No;No;
Microsoft.Insights;metrics;No;No;No;
Microsoft.Insights;migratealertrules;No;No;No;
Microsoft.Insights;migratetonewpricingmodel;No;No;No;
Microsoft.Insights;myworkbooks;No;No;No;
Microsoft.Insights;notificationgroups;No;No;No;
Microsoft.Insights;privatelinkscopes;No;No;No;
Microsoft.Insights;rollbacktolegacypricingmodel;No;No;No;
Microsoft.Insights;scheduledqueryrules;Yes;Yes;No;
Microsoft.Insights;topology;No;No;No;
Microsoft.Insights;transactions;No;No;No;
Microsoft.Insights;vminsightsonboardingstatuses;No;No;No;
Microsoft.Insights;webtests;Yes;Yes;No;
Microsoft.Insights;webtests / gettestresultfile;No;No;No;
Microsoft.Insights;workbooks;Yes;Yes;No;
Microsoft.Insights;workbooktemplates;Yes;Yes;No;
Microsoft.IoTCentral;apptemplates;No;No;No;
Microsoft.IoTCentral;iotapps;Yes;Yes;No;
Microsoft.IoTHub;iothub;Yes;Yes;Yes (clone hub);https://learn.microsoft.com/en-us/azure/iot-hub/iot-hub-how-to-clone
Microsoft.IoTSpaces;graph;Yes;Yes;No;
Microsoft.KeyVault;deletedvaults;No;No;No;
Microsoft.KeyVault;hsmpools;No;No;No;
Microsoft.KeyVault;managedhsms;No;No;No;
Microsoft.KeyVault;vaults;Yes;Yes;No;https://learn.microsoft.com/en-us/azure/key-vault/general/move-region
Microsoft.Kubernetes;connectedclusters;No;No;No;
Microsoft.Kubernetes;registeredsubscriptions;No;No;No;
Microsoft.KubernetesConfiguration;sourcecontrolconfigurations;No;No;No;
Microsoft.Kusto;clusters;Yes;Yes;No;
Microsoft.LabServices;labaccounts;No;No;No;
Microsoft.LabServices;users;No;No;No;
Microsoft.LoadTestService;loadtests;Yes;Yes;No;
Microsoft.LocationBasedServices;accounts;No;No;No;
Microsoft.LocationServices;accounts;No;No;No;
Microsoft.Logic;hostingenvironments;No;No;No;
Microsoft.Logic;integrationaccounts;Yes;Yes;No;
Microsoft.Logic;integrationserviceenvironments;Yes;No;No;
Microsoft.Logic;integrationserviceenvironments / managedapis;Yes;No;No;
Microsoft.Logic;isolatedenvironments;No;No;No;
Microsoft.Logic;workflows;Yes;Yes;No;https://learn.microsoft.com/en-us/azure/logic-apps/business-continuity-disaster-recovery-guidance
Microsoft.MachineLearning;commitmentplans;No;No;No;
Microsoft.MachineLearning;webservices;Yes;No;No;
Microsoft.MachineLearning;workspaces;Yes;Yes;No;
Microsoft.MachineLearningCompute;operationalizationclusters;No;No;No;
Microsoft.MachineLearningExperimentation;accounts;No;No;No;
Microsoft.MachineLearningExperimentation;teamaccounts;No;No;No;
Microsoft.MachineLearningModelManagement;accounts;No;No;No;
Microsoft.MachineLearningServices;workspaces;No;No;No;
Microsoft.Maintenance;configurationassignments;No;No;No;
Microsoft.Maintenance;maintenanceconfigurations;No;No;No;
Microsoft.Maintenance;updates;No;No;No;
Microsoft.ManagedIdentity;identities;No;No;No;
Microsoft.ManagedIdentity;userassignedidentities;No;No;No;
Microsoft.ManagedNetwork;managednetworks;No;No;No;
Microsoft.ManagedNetwork;managednetworks / managednetworkgroups;No;No;No;
Microsoft.ManagedNetwork;managednetworks / managednetworkpeeringpolicies;No;No;No;
Microsoft.ManagedNetwork;notification;No;No;No;
Microsoft.ManagedServices;marketplaceregistrationdefinitions;No;No;No;
Microsoft.ManagedServices;registrationassignments;No;No;No;
Microsoft.ManagedServices;registrationdefinitions;No;No;No;
Microsoft.Management;getentities;No;No;No;
Microsoft.Management;managementgroups;No;No;No;
Microsoft.Management;managementgroups / settings;No;No;No;
Microsoft.Management;resources;No;No;No;
Microsoft.Management;starttenantbackfill;No;No;No;
Microsoft.Management;tenantbackfillstatus;No;No;No;
Microsoft.Maps;accounts;Yes;Yes;No;
Microsoft.Maps;accounts / privateatlases;Yes;Yes;No;
Microsoft.Marketplace;offers;No;No;No;
Microsoft.Marketplace;offertypes;No;No;No;
Microsoft.Marketplace;privategalleryitems;No;No;No;
Microsoft.Marketplace;privatestoreclient;No;No;No;
Microsoft.Marketplace;privatestores;No;No;No;
Microsoft.Marketplace;products;No;No;No;
Microsoft.Marketplace;publishers;No;No;No;
