Provider;Resource Type;Resource Group Move;Subscription Move;Region Move;Documentation Link
Microsoft.Network;frontdoors;No;No;No;
Microsoft.Network;ipallocations;Yes;Yes;No;
Microsoft.Network;ipgroups;No;No;No;
Microsoft.Network;loadbalancers;Yes - Basic / No - Standard;Yes - Basic / No - Standard;Yes (Use Azure Resource Mover);
Microsoft.Network;localnetworkgateways;Yes;Yes;No;
Microsoft.Network;natgateways;No;No;No;
Microsoft.Network;networkexperimentprofiles;No;No;No;
Microsoft.Network;networkintentpolicies;Yes;Yes;No;
Microsoft.Network;networkinterfaces;Yes;Yes;Yes (Use Azure Resource Mover);
Microsoft.Network;networkprofiles;No;No;No;
Microsoft.Network;networksecuritygroups;Yes;Yes;Yes (Use Azure Resource Mover);
Microsoft.Network;networkwatchers;Yes;No;No;
Microsoft.Network;networkwatchers / connectionmonitors;Yes;No;No;
Microsoft.Network;networkwatchers / flowlogs;Yes;No;No;
Microsoft.Network;networkwatchers / pingmeshes;Yes;No;No;
Microsoft.Network;p2svpngateways;No;No;No;
Microsoft.Network;privatednszones;Yes;Yes;No;
Microsoft.Network;privatednszones / virtualnetworklinks;Yes;Yes;No;
Microsoft.Network;privatednszonesinternal;No;No;No;
Microsoft.Network;privateendpointredirectmaps;No;No;No;
Microsoft.Network;privateendpoints;Yes (supported resources);Yes (supported resources);No;
Microsoft.Network;privatelinkservices;No;No;No;
Microsoft.Network;publicipaddresses;Yes;Yes;No (IPs not retained);
Microsoft.Network;publicipprefixes;Yes;Yes;No;
Microsoft.Network;routefilters;No;No;No;
Microsoft.Network;routetables;Yes;Yes;No;
Microsoft.Network;securitypartnerproviders;Yes;Yes;No;
Microsoft.Network;serviceendpointpolicies;Yes;Yes;No;
Microsoft.Network;trafficmanagergeographichierarchies;No;No;No;
Microsoft.Network;trafficmanagerprofiles;Yes;Yes;No;
Microsoft.Network;trafficmanagerprofiles / heatmaps;No;No;No;
Microsoft.Network;trafficmanagerusermetricskeys;No;No;No;
Microsoft.Network;virtualhubs;No;No;No;
Microsoft.Network;virtualnetworkgateways;No;No;No;
Microsoft.Network;virtualnetworks;Yes;Yes;Yes;
Microsoft.Network;virtualnetworktaps;No;No;No;
Microsoft.Network;virtualrouters;Yes;Yes;No;
Microsoft.Network;virtualwans;No;No;No;
Microsoft.Network;vpngateways;No;No;No;
Microsoft.Network;vpnserverconfigurations;No;No;No;
Microsoft.Network;vpnsites;No;No;No;
Microsoft.NotificationHubs;namespaces;Yes;Yes;No;
Microsoft.NotificationHubs;namespaces / notificationhubs;Yes;Yes;No;
Microsoft.ObjectStore;osnamespaces;Yes;Yes;No;
Microsoft.OffAzure;hypervsites;No;No;No;
Microsoft.OffAzure;importsites;No;No;No;
Microsoft.OffAzure;mastersites;No;No;No;
Microsoft.OffAzure;serversites;No;No;No;
Microsoft.OffAzure;vmwaresites;No;No;No;
Microsoft.OperationalInsights;clusters;No;No;No;
Microsoft.OperationalInsights;deletedworkspaces;No;No;No;
Microsoft.OperationalInsights;linktargets;No;No;No;
Microsoft.OperationalInsights;storageinsightconfigs;No;No;No;
Microsoft.OperationalInsights;workspaces;Yes;Yes;No;
Microsoft.OperationalInsights;querypacks;No;No;No;
Microsoft.OperationsManagement;managementassociations;No;No;No;
Microsoft.OperationsManagement;managementconfigurations;Yes;Yes;No;
Microsoft.OperationsManagement;solutions;Yes;Yes;No;
Microsoft.OperationsManagement;views;Yes;Yes;No;
Microsoft.Peering;legacypeerings;No;No;No;
Microsoft.Peering;peerasns;No;No;No;
Microsoft.Peering;peeringlocations;No;No;No;
Microsoft.Peering;peerings;Yes;Yes;No;
Microsoft.Peering;peeringservicecountries;No;No;No;
Microsoft.Peering;peeringservicelocations;No;No;No;
Microsoft.Peering;peeringserviceproviders;No;No;No;
Microsoft.Peering;peeringservices;Yes;Yes;No;
Microsoft.PolicyInsights;policyevents;No;No;No;
Microsoft.PolicyInsights;policystates;No;No;No;
Microsoft.PolicyInsights;policytrackedresources;No;No;No;
Microsoft.PolicyInsights;remediations;No;No;No;
Microsoft.Portal;consoles;No;No;No;
Microsoft.Portal;dashboards;Yes;Yes;No;
Microsoft.Portal;usersettings;No;No;No;
Microsoft.PowerBI;workspacecollections;Yes;Yes;No;
Microsoft.PowerBIDedicated;capacities;Yes;Yes;No;
Microsoft.ProgrammableConnectivity;gateways;No;No;No;
Microsoft.ProgrammableConnectivity;openApiGatewayOfferings;No;No;No;
Microsoft.ProgrammableConnectivity;openApiGateways;No;No;No;
Microsoft.ProgrammableConnectivity;operatorApiConnections;No;No;No;
Microsoft.ProgrammableConnectivity;operatorApiPlans;No;No;No;
Microsoft.ProgrammableConnectivity;OperatorConnections;No;No;No;
Microsoft.ProgrammableConnectivity;OperatorOfferings;No;No;No;
Microsoft.ProjectBabylon;accounts;No;No;No;
Microsoft.Purview;accounts;Yes;Yes;No;
Microsoft.ProviderHub;availableaccounts;No;No;No;
Microsoft.ProviderHub;providerregistrations;No;No;No;
Microsoft.ProviderHub;rollouts;No;No;No;
Microsoft.Quantum;workspaces;No;No;No;
Microsoft.RecoveryServices;replicationeligibilityresults;No;No;No;
Microsoft.RecoveryServices;vaults;Yes;Yes;No;
Microsoft.RedHatOpenShift;openshiftclusters;No;No;No;
Microsoft.Relay;namespaces;Yes;Yes;No;
Microsoft.ResourceGraph;queries;Yes;Yes;No;
Microsoft.ResourceGraph;resourcechangedetails;No;No;No;
Microsoft.ResourceGraph;resourcechanges;No;No;No;
Microsoft.ResourceGraph;resources;No;No;No;
Microsoft.ResourceGraph;resourceshistory;No;No;No;
Microsoft.ResourceGraph;subscriptionsstatus;No;No;No;
Microsoft.ResourceHealth;childresources;No;No;No;
Microsoft.ResourceHealth;emergingissues;No;No;No;
Microsoft.ResourceHealth;events;No;No;No;
Microsoft.ResourceHealth;metadata;No;No;No;
Microsoft.ResourceHealth;notifications;No;No;No;
Microsoft.Resources;deployments;No;No;No;
Microsoft.Resources;deploymentscripts;No;No;Yes;
Microsoft.Resources;deploymentscripts / logs;No;No;No;
Microsoft.Resources;links;No;No;No;
Microsoft.Resources;providers;No;No;No;
Microsoft.Resources;resourcegroups;No;No;No;
Microsoft.Resources;resources;No;No;No;
Microsoft.Resources;subscriptions;No;No;No;
Microsoft.Resources;tags;No;No;No;
Microsoft.Resources;templatespecs;No;No;Yes;
Microsoft.Resources;templatespecs / versions;No;No;No;
Microsoft.Resources;tenants;No;No;No;
Microsoft.SaaS;applications;Yes;No;No;
Microsoft.SaaS;resources;Yes;Yes;No;
Microsoft.SaaS;saasresources;No;No;No;
Microsoft.Search;resourcehealthmetadata;No;No;No;
Microsoft.Search;searchservices;Yes;Yes;No;
Microsoft.Security;adaptivenetworkhardenings;No;No;No;
Microsoft.Security;advancedthreatprotectionsettings;No;No;No;
Microsoft.Security;alerts;No;No;No;
Microsoft.Security;allowedconnections;No;No;No;
Microsoft.Security;applicationwhitelistings;No;No;No;
Microsoft.Security;assessmentmetadata;No;No;No;
Microsoft.Security;assessments;No;No;No;
Microsoft.Security;autodismissalertsrules;No;No;No;
Microsoft.Security;automations;Yes;Yes;No;
Microsoft.Security;autoprovisioningsettings;No;No;No;
Microsoft.Security;complianceresults;No;No;No;
Microsoft.Security;compliances;No;No;No;
Microsoft.Security;datacollectionagents;No;No;No;
Microsoft.Security;devicesecuritygroups;No;No;No;
Microsoft.Security;discoveredsecuritysolutions;No;No;No;
Microsoft.Security;externalsecuritysolutions;No;No;No;
Microsoft.Security;informationprotectionpolicies;No;No;No;
Microsoft.Security;iotsecuritysolutions;Yes;Yes;No;
Microsoft.Security;iotsecuritysolutions / analyticsmodels;No;No;No;
Microsoft.Security;iotsecuritysolutions / analyticsmodels / aggregatedalerts;No;No;No;
Microsoft.Security;iotsecuritysolutions / analyticsmodels / aggregatedrecommendations;No;No;No;
Microsoft.Security;jitnetworkaccesspolicies;No;No;No;
Microsoft.Security;policies;No;No;No;
Microsoft.Security;pricings;No;No;No;
Microsoft.Security;regulatorycompliancestandards;No;No;No;
Microsoft.Security;regulatorycompliancestandards / regulatorycompliancecontrols;No;No;No;
Microsoft.Security;regulatorycompliancestandards / regulatorycompliancecontrols / regulatorycomplianceassessments;No;No;No;
Microsoft.Security;securitycontacts;No;No;No;
Microsoft.Security;securitysolutions;No;No;No;
Microsoft.Security;securitysolutionsreferencedata;No;No;No;
Microsoft.Security;securitystatuses;No;No;No;
Microsoft.Security;securitystatusessummaries;No;No;No;
Microsoft.Security;servervulnerabilityassessments;No;No;No;
Microsoft.Security;settings;No;No;No;
Microsoft.Security;subassessments;No;No;No;
Microsoft.Security;tasks;No;No;No;
Microsoft.Security;topologies;No;No;No;
Microsoft.Security;workspacesettings;No;No;No;
Microsoft.SecurityInsights;aggregations;No;No;No;
Microsoft.SecurityInsights;alertrules;No;No;No;
Microsoft.SecurityInsights;alertruletemplates;No;No;No;
Microsoft.SecurityInsights;automationrules;No;No;No;
Microsoft.SecurityInsights;bookmarks;No;No;No;
Microsoft.SecurityInsights;cases;No;No;No;
Microsoft.SecurityInsights;dataconnectors;No;No;No;
Microsoft.SecurityInsights;entities;No;No;No;
Microsoft.SecurityInsights;entityqueries;No;No;No;
Microsoft.SecurityInsights;incidents;No;No;No;
Microsoft.SecurityInsights;officeconsents;No;No;No;
Microsoft.SecurityInsights;settings;No;No;No;
Microsoft.SecurityInsights;threatintelligence;No;No;No;
Microsoft.SerialConsole;consoleservices;No;No;No;
Microsoft.ServerManagement;gateways;No;No;No;
Microsoft.ServerManagement;nodes;No;No;No;
Microsoft.ServiceBus;namespaces;Yes;Yes;Yes (with template);
Microsoft.ServiceBus;premiummessagingregions;No;No;No;
Microsoft.ServiceBus;sku;No;No;No;
Microsoft.ServiceFabric;applications;No;No;No;
Microsoft.ServiceFabric;clusters;Yes;Yes;No;
Microsoft.ServiceFabric;containergroups;No;No;No;
Microsoft.ServiceFabric;containergroupsets;No;No;No;
Microsoft.ServiceFabric;edgeclusters;No;No;No;
Microsoft.ServiceFabric;managedclusters;No;No;No;
Microsoft.ServiceFabric;networks;No;No;No;
Microsoft.ServiceFabric;secretstores;No;No;No;
Microsoft.ServiceFabric;volumes;No;No;No;
Microsoft.ServiceFabricMesh;applications;Yes;Yes;No;
Microsoft.ServiceFabricMesh;containergroups;No;No;No;
Microsoft.ServiceFabricMesh;gateways;Yes;Yes;No;
Microsoft.ServiceFabricMesh;networks;Yes;Yes;No;
Microsoft.ServiceFabricMesh;secrets;Yes;Yes;No;
Microsoft.ServiceFabricMesh;volumes;Yes;Yes;No;
Microsoft.ServiceNetworking;trafficcontrollers;No;No;No;
Microsoft.ServiceNetworking;associations;No;No;No;
Microsoft.ServiceNetworking;frontends;No;No;No;
Microsoft.Services;rollouts;No;No;No;
Microsoft.SignalRService;signalr;Yes;Yes;No;
Microsoft.SoftwarePlan;hybridusebenefits;No;No;No;
Microsoft.Solutions;applicationdefinitions;No;No;No;
Microsoft.Solutions;applications;No;No;No;
Microsoft.Solutions;jitrequests;No;No;No;
Microsoft.Sql;instancepools;No;No;No;
Microsoft.Sql;locations;Yes;Yes;No;
Microsoft.Sql;managedinstances;No;No;Yes;
Microsoft.Sql;managedinstances / databases;No;No;Yes;
Microsoft.Sql;servers;Yes;Yes;Yes;
Microsoft.Sql;servers / databases;Yes;Yes;Yes;
Microsoft.Sql;servers / databases / backuplongtermretentionpolicies;Yes;Yes;No;
Microsoft.Sql;servers / elasticpools;Yes;Yes;Yes;
Microsoft.Sql;servers / jobaccounts;Yes;Yes;No;
Microsoft.Sql;servers / jobagents;Yes;Yes;No;
Microsoft.Sql;virtualclusters;No;No;No;
Microsoft.SqlVirtualMachine;sqlvirtualmachinegroups;No;No;No;
Microsoft.SqlVirtualMachine;sqlvirtualmachines;No;No;No;
Microsoft.Storage;storageaccounts;Yes;Yes;Yes (Relocate);
Microsoft.StorageCache;caches;No;No;No;
Microsoft.StorageSync;storagesyncservices;Yes;Yes;No;
Microsoft.StorageSyncDev;storagesyncservices;No;No;No;
Microsoft.StorageSyncInt;storagesyncservices;No;No;No;
Microsoft.StorSimple;managers;No;No;No;
Microsoft.StreamAnalytics;clusters;No;No;No;
Microsoft.StreamAnalytics;streamingjobs;Yes;Yes;No;
Microsoft.StreamAnalyticsExplorer;environments;No;No;No;
Microsoft.StreamAnalyticsExplorer;instances;No;No;No;
Microsoft.Subscription;subscriptions;No;No;No;
Microsoft.Support;services;No;No;No;
Microsoft.Support;supporttickets;No;No;No;
Microsoft.Synapse;workspaces;No;No;No;
Microsoft.Synapse;workspaces / bigdatapools;No;No;No;
Microsoft.Synapse;workspaces / sqlpools;No;No;No;
Microsoft.TimeSeriesInsights;environments;Yes;Yes;No;
Microsoft.TimeSeriesInsights;environments / eventsources;Yes;Yes;No;
Microsoft.TimeSeriesInsights;environments / referencedatasets;Yes;Yes;No;
Microsoft.Token;stores;Yes;Yes;No;
Microsoft.VirtualMachineImages;imagetemplates;No;No;No;
Microsoft.VisualStudio;account;No;No;No;
Microsoft.VisualStudio;account / extension;No;No;No;
Microsoft.VisualStudio;account / project;No;No;No;
Microsoft.VMware;arczones;No;No;No;
Microsoft.VMware;resourcepools;No;No;No;
Microsoft.VMware;vcenters;No;No;No;
Microsoft.VMware;virtualmachines;No;No;No;
Microsoft.VMware;virtualmachinetemplates;No;No;No;
Microsoft.VMware;virtualnetworks;No;No;No;
Microsoft.VMwareCloudSimple;dedicatedcloudnodes;No;No;No;
Microsoft.VMwareCloudSimple;dedicatedcloudservices;No;No;No;
Microsoft.VMwareCloudSimple;virtualmachines;No;No;No;
Microsoft.VnfManager;devices;No;No;No;
Microsoft.VnfManager;vnfs;No;No;No;
Microsoft.VSOnline;accounts;No;No;No;
Microsoft.VSOnline;plans;No;No;No;
Microsoft.VSOnline;registeredsubscriptions;No;No;No;
Microsoft.Web;availablestacks;No;No;No;
Microsoft.Web;billingmeters;No;No;No;
Microsoft.Web;certificates;No;Yes;No;
Microsoft.Web;certificates (managed);No;No;No;
Microsoft.Web;connectiongateways;Yes;Yes;No;
Microsoft.Web;connections;Yes;Yes;No;
Microsoft.Web;customapis;Yes;Yes;No;
Microsoft.Web;deletedsites;No;No;No;
Microsoft.Web;deploymentlocations;No;No;No;
Microsoft.Web;georegions;No;No;No;
Microsoft.Web;hostingenvironments;No;No;No;
Microsoft.Web;kubeenvironments;Yes;Yes;No;
Microsoft.Web;publishingusers;No;No;No;
Microsoft.Web;recommendations;No;No;No;
Microsoft.Web;resourcehealthmetadata;No;No;No;
Microsoft.Web;runtimes;No;No;No;
Microsoft.Web;serverfarms;Yes;Yes;No;
Microsoft.Web;serverfarms / eventgridfilters;No;No;No;
Microsoft.Web;sites;Yes;Yes;No;
Microsoft.Web;sites / premieraddons;Yes;Yes;No;
Microsoft.Web;sites / slots;Yes;Yes;No;
Microsoft.Web;sourcecontrols;No;No;No;
Microsoft.Web;staticsites;Yes;Yes;No;
Microsoft.WindowsESU;multipleactivationkeys;No;No;No;
Microsoft.WindowsIoT;deviceservices;No;No;No;
Microsoft.WorkloadBuilder;workloads;No;No;No;
Microsoft.WorkloadMonitor;components;No;No;No;
Microsoft.WorkloadMonitor;componentssummary;No;No;No;
Microsoft.WorkloadMonitor;monitorinstances;No;No;No;
Microsoft.WorkloadMonitor;monitorinstancessummary;No;No;No;
Microsoft.WorkloadMonitor;monitors;No;No;No;
